"","x"
"852","4930447F04Rik"
"853","4930449A18Rik"
"854","4930449E01Rik"
"855","4930449I24Rik"
"856","4930451E10Rik"
"857","4930451G09Rik"
"858","4930451I11Rik"
"859","4930452B06Rik"
"860","4930453N24Rik"
"861","4930455C21Rik"
"862","4930455F23Rik"
"863","4930458L03Rik"
"864","4930463O16Rik"
"865","4930467E23Rik"
"866","4930468A15Rik"
"867","4930470H14Rik"
"868","4930470P17Rik"
"869","4930471M23Rik"
"870","4930473A02Rik"
"871","4930473A06Rik"
"872","4930474N05Rik"
"873","4930479M11Rik"
"874","4930480E11Rik"
"875","4930483J18Rik"
"876","4930485B16Rik"
"877","4930486G11Rik"
"878","4930486L24Rik"
"879","4930500M09Rik"
"880","4930502E18Rik"
"881","4930503E14Rik"
"882","4930503L19Rik"
"883","4930504O13Rik"
"884","4930505A04Rik"
"885","4930505N22Rik"
"886","4930506F14Rik"
"887","4930506M07Rik"
"888","4930510E17Rik"
"889","4930511I11Rik"
"890","4930511M11Rik"
"891","4930512B01Rik"
"892","4930512M02Rik"
"893","4930513N10Rik"
"894","4930513O06Rik"
"895","4930517O19Rik"
"896","4930518F22Rik"
"897","4930519F16Rik"
"898","4930519G04Rik"
"899","4930519G04Rik|AC116500.4"
"900","4930520K10Rik"
"901","4930521A18Rik"
"902","4930522H14Rik"
"903","4930522L14Rik"
"904","4930523C07Rik"
"905","4930524B15Rik"
"906","4930524E20Rik"
"907","4930524J08Rik"
"908","4930524N10Rik"
"909","4930525F21Rik"
"910","4930525F21Rik|Fgf7"
"911","4930525M21Rik"
"912","4930526D03Rik"
"913","4930528F23Rik"
"914","4930529F22Rik"
"915","4930529M08Rik"
"916","4930533K18Rik"
"917","4930533K18Rik|Bicc1"
"918","4930533K18Rik|Bicc1|AC087891.1"
"919","4930533L02Rik"
"920","4930534B04Rik"
"921","4930539E08Rik"
"922","4930542C16Rik"
"923","4930542N07Rik"
"924","4930544G11Rik"
"925","4930544L04Rik"
"926","4930544M13Rik"
"927","4930544O15Rik"
"928","4930546C10Rik"
"929","4930547C10Rik"
"930","4930547M16Rik"
"931","4930547N16Rik"
"932","4930548G14Rik"
"933","4930549C01Rik"
"934","4930550C14Rik"
"935","4930550L24Rik"
"936","4930553M12Rik"
"937","4930555F03Rik"
"938","4930555G01Rik"
"939","4930555I21Rik"
"940","4930556A20Rik"
"941","4930556J24Rik"
"942","4930556J24Rik|Pes1"
"943","4930557A04Rik"
"944","4930558J22Rik"
"945","4930558J22Rik|Hist1h4b"
"946","4930562C15Rik"
"947","4930562F07Rik"
"948","4930563D23Rik"
"949","4930563E22Rik"
"950","4930564B18Rik"
"951","4930564D02Rik"
"952","4930568D16Rik"
"953","4930569F06Rik"
"954","4930572J05Rik"
"955","4930572O03Rik"
"956","4930578C19Rik"
"957","4930578G10Rik"
"958","4930578G10Rik|RP23-411B7.5"
"959","4930578I06Rik"
"960","4930578I07Rik"
"961","4930578N16Rik"
"962","4930579C12Rik"
"963","4930579C15Rik"
"964","4930579F01Rik"
"965","4930579G22Rik"
"966","4930579G24Rik"
"967","4930579J09Rik"
"968","4930579K19Rik"
"969","4930581F22Rik"
"970","4930581F22Rik|Dcps"
"971","4930583H14Rik"
"972","4930583I09Rik"
"973","4930583K01Rik"
"974","4930584F24Rik"
"975","4930588K23Rik"
"976","4930588N13Rik"
"977","4930589L23Rik"
"978","4930590J08Rik"
"979","4930591A17Rik"
"980","4930594M22Rik"
"981","4930594M22Rik|Tmtc4"
"982","4930595M18Rik"
"983","4930596D02Rik"
"984","4930597O21Rik"
"985","4930599N23Rik"
"986","4931400O07Rik"
"987","4931403M11Rik"
"988","4931406B18Rik"
"989","4931406C07Rik"
"990","4931406P16Rik"
"991","4931406P16Rik|BX537302.3"
"992","4931407G18Rik"
"993","4931408A02Rik"
"994","4931408C20Rik"
"995","4931409K22Rik"
"996","4931414P19Rik"
"997","4931415C17Rik"
"998","4931417E11Rik"
"999","4931417G12Rik"
"1000","4931422A03Rik"
"1001","4931422A03Rik|Fbxo3"
"1002","4931423N10Rik"
"1003","4931428F04Rik"
"1004","4931428L18Rik"
"1005","4931428L18Rik|Lgsn"
"1006","4931429I11Rik"
"1007","4931429L15Rik"
"1008","4931429P17Rik"
"1009","4931431C16Rik"
"1010","4931431C16Rik|Acox3"
"1011","4931432M23Rik"
"1012","4931440P22Rik"
"1013","4931440P22Rik|Tiparp"
"1014","4932411E22Rik"
"1015","4932411K12Rik"
